wavelength,Big red-10x epiplan - 010-LCP,Big green-10x epiplan - 010-LCP,Big blue-10x epiplan - 006-LCP,Med red-10x epiplan - 010-LCP,Med green-10x epiplan - 022-LCP- 017,Med blue-10x epiplan - 002-LCP
979.1733398,0.079528862,0.07100266,0.069307894,0.060936435,0.067608476,0.073298939
979.6873169,0.070235421,0.074785153,0.065448862,0.068965517,0.065459865,0.063885904
980.2012939,0.069952459,0.074694558,0.068788202,0.062675851,0.067937801,0.054817115
980.71521,0.065551316,0.078155206,0.063398885,0.062224831,0.066740311,0.065062127
981.2290649,0.068324197,0.073259731,0.054815975,0.058927173,0.066523204,0.063821457
981.7428589,0.073252489,0.072249435,0.0611259,0.062013211,0.071119066,0.067139899
982.2566528,0.068384539,0.073242095,0.063726462,0.060654113,0.066823974,0.054905847
982.7703247,0.074187192,0.078516287,0.065714286,0.06729064,0.07079646,0.069261084
983.2839966,0.071160288,0.077031206,0.066186174,0.06923155,0.067847437,0.066693737
983.7976074,0.069333063,0.078942381,0.063039285,0.065577099,0.069086429,0.067911887
984.3111572,0.081655481,0.075640779,0.063555013,0.064571893,0.066294084,0.068944478
984.824707,0.069779374,0.073664825,0.063519754,0.065879938,0.06678298,0.064135454
985.3380737,0.074551746,0.079825691,0.067107057,0.064066268,0.073586214,0.069309007
985.8515015,0.063289784,0.071286736,0.052687942,0.059006211,0.061854647,0.054294281
986.3648682,0.069740694,0.077569813,0.059807612,0.065453785,0.063256931,0.064408197
986.8781738,0.071662962,0.074411081,0.064359056,0.062030274,0.072085735,0.070816132
987.3914185,0.073326929,0.074880456,0.061586082,0.062866901,0.071217825,0.062333227
987.904541,0.062479519,0.079175594,0.055161114,0.063790279,0.061524334,0.057564173
988.4176636,0.0684356,0.074904036,0.055500276,0.068325041,0.063699554,0.060696517
988.9307861,0.073420792,0.078497573,0.06405027,0.070554514,0.070162482,0.068459927
989.4438477,0.053528537,0.084829918,0.051698502,0.055244195,0.072364251,0.058103626
989.9567261,0.078905176,0.067285636,0.063673843,0.066422355,0.06127799,0.066307833
990.4697266,0.063716404,0.068598719,0.048192771,0.060240964,0.070661022,0.060240964
990.982605,0.078550194,0.08522359,0.065058312,0.076492111,0.078094621,0.064257946
991.4953003,0.069056344,0.075469601,0.063330279,0.07214842,0.064910526,0.074553367
992.0081787,0.058857539,0.067654926,0.061517114,0.073774283,0.063085154,0.06359852
992.520874,0.081526151,0.067832957,0.067493912,0.060767714,0.068961625,0.067957787
993.0334473,0.066028708,0.069934787,0.05777512,0.061602871,0.073420283,0.059569378
993.5460815,0.0653548,0.073430493,0.061657722,0.066547406,0.068049327,0.054979129
994.0586548,0.0714961,0.079071332,0.064878279,0.066532735,0.07166891,0.061096667
994.571167,0.068552253,0.072424345,0.063998082,0.069391179,0.072651026,0.064956855
995.0836182,0.070598312,0.074234784,0.049431053,0.057751132,0.06743286,0.062278233
995.5959473,0.05860161,0.077221439,0.061619718,0.059356137,0.077103902,0.058978873
996.1083374,0.070268179,0.059837478,0.063563693,0.064208355,0.071041615,0.066013409
996.6206055,0.072802912,0.075700135,0.067472699,0.075533021,0.068973951,0.071762871
997.1328735,0.069979188,0.080132126,0.068548387,0.071019771,0.073036457,0.075832466
997.6450195,0.068620919,0.076720901,0.059027315,0.064756829,0.06620776,0.062758161
998.1571045,0.074064449,0.071720265,0.071725572,0.066138254,0.071465033,0.058991684
998.6691284,0.062340454,0.056772521,0.054413543,0.059115948,0.061309138,0.054144834
999.1811523,0.070550877,0.079139505,0.066408947,0.067651526,0.067666232,0.068065719
999.6931152,0.065027322,0.066473226,0.057923497,0.064480874,0.06185703,0.061748634
1000.205017,0.073844884,0.074873261,0.059130913,0.066969197,0.071363577,0.060643564
1000.716858,0.066016713,0.068675823,0.064763231,0.067270195,0.07067609,0.060027855
1001.22876,0.068040382,0.076044641,0.052828101,0.061125709,0.069945497,0.061125709
1001.740417,0.075596634,0.077493174,0.063594979,0.075320734,0.072552334,0.073803283
1002.252136,0.047724443,0.076606684,0.053257712,0.070272513,0.073007712,0.059482639
1002.763733,0.082710927,0.075078616,0.062102351,0.077731674,0.071933962,0.076348548
1003.27533,0.062179852,0.073675826,0.054923164,0.060330108,0.069162352,0.06232214
1003.786804,0.077311409,0.068406593,0.068224434,0.071974614,0.061813187,0.073272753
1004.29834,0.075551044,0.069571328,0.068155452,0.062790023,0.060576247,0.069460557
1004.809692,0.067268623,0.069754307,0.064860798,0.076147479,0.071025134,0.074191121
1005.321045,0.071395741,0.076434958,0.069710434,0.064807722,0.063743871,0.065420561
1005.832336,0.071897468,0.080337328,0.055486089,0.060643951,0.078118065,0.060956549
1006.343689,0.068019833,0.081390168,0.05686396,0.069414317,0.068617258,0.070343973
1006.854858,0.069488818,0.074871173,0.059904153,0.072683706,0.07168839,0.061341853
1007.366028,0.059398015,0.071053027,0.052033301,0.060999039,0.069701067,0.070445085
1007.877136,0.06671103,0.075477511,0.05872567,0.077358177,0.066389402,0.065047413
1008.388062,0.065492021,0.076052797,0.054355053,0.055851064,0.075581395,0.057845745
1008.899048,0.085967553,0.081384324,0.063555779,0.081619,0.071112516,0.062385014
1009.410034,0.071738405,0.076801766,0.065899233,0.067067067,0.064658571,0.073073073
1009.920837,0.068792787,0.064643591,0.057772583,0.080814827,0.052473526,0.066789113
1010.431702,0.067118644,0.080024623,0.061694915,0.074576271,0.075100031,0.06440678
1010.942505,0.071404168,0.084846587,0.048513837,0.056200888,0.076549781,0.06388794
1011.453186,0.0661336,0.072675341,0.0651341,0.058803931,0.071723262,0.060636348
1011.963806,0.049642919,0.052289759,0.041804564,0.049991291,0.055786844,0.048075248
1012.474487,0.066292708,0.07004519,0.061873194,0.079211287,0.070690768,0.068332483
