,wavelength,test1_R_LL,test1_R_pL,test1_R_ps,test1_R_sL,test1_R_sp
67,6.383838383838384e-07,0.0018056394647542565,0.0003949470830880427,0.0005352017842567159,0.0005352017842567145,0.0005352017842567145
68,6.434343434343435e-07,0.00022584661957042622,6.414646453881759e-05,0.00010904093706836764,0.0001090409370683683,0.0001090409370683683
69,6.484848484848484e-07,0.00019331840282317585,9.266828818427533e-05,5.256067225051854e-05,5.256067225051998e-05,5.256067225051998e-05
70,6.535353535353535e-07,0.0014458923091675245,0.00039042625606059377,0.00033882096261835095,0.0003388209626183494,0.0003388209626183494
71,6.585858585858586e-07,0.0027941820836160304,0.0006788551122216312,0.0006879114705654807,0.0006879114705654751,0.0006879114705654751
72,6.636363636363635e-07,0.0031759236727991256,0.0007330432824324976,0.0008213542846740782,0.000821354284674075,0.000821354284674075
73,6.686868686868686e-07,0.002388163047739392,0.0005321736286852611,0.0006585452101592305,0.000658545210159231,0.000658545210159231
74,6.737373737373737e-07,0.0010717604744928055,0.0002364067602876321,0.00033589320062017036,0.0003358932006201691,0.0003358932006201691
75,6.787878787878787e-07,0.00013483296045783597,4.691474009808617e-05,7.825446853447812e-05,7.825446853447882e-05,7.825446853447882e-05
76,6.838383838383838e-07,0.00010723158234955702,6.56243068044912e-05,3.5963808885574476e-05,3.596380888557339e-05,3.596380888557339e-05
77,6.888888888888889e-07,0.000858575715352377,0.0002457144793670276,0.0001997884725387321,0.00019978847253873346,0.00019978847253873346
78,6.93939393939394e-07,0.001791384922089159,0.00044655835724678907,0.00043390029529910215,0.0004339002952991123,0.0004339002952991123
79,6.98989898989899e-07,0.002286870148530155,0.0005361986869513821,0.0005806541506535147,0.0005806541506535155,0.0005806541506535155
80,7.04040404040404e-07,0.002074765517957859,0.000468163905156055,0.0005569633394861389,0.0005569633394861338,0.0005569633394861338
81,7.09090909090909e-07,0.0013302010229633897,0.0002937047146056937,0.0003889939555757249,0.00038899395557572875,0.00038899395557572875
82,7.141414141414141e-07,0.0005044136923162535,0.00011701191944649177,0.0001800743157113677,0.00018007431571136876,0.00018007431571136876
83,7.191919191919191e-07,3.5006064906669134e-05,2.9655286693475522e-05,4.2487629528682914e-05,4.248762952868273e-05,4.248762952868273e-05
84,7.242424242424241e-07,0.00011297602896732341,6.335276169780932e-05,3.6023832298941806e-05,3.6023832298940566e-05,3.6023832298940566e-05
85,7.292929292929292e-07,0.0006198215268897711,0.00018262204440817995,0.00014472921411271526,0.00014472921411271615,0.00014472921411271615
86,7.343434343434343e-07,0.0012358928476895667,0.00031350419373509864,0.0002969130676681584,0.0002969130676681589,0.0002969130676681589
87,7.393939393939394e-07,0.0016305385857494658,0.00038645481413513506,0.00040940410014548385,0.0004094041001454773,0.0004094041001454773
88,7.444444444444444e-07,0.0016230488779706465,0.0003692266648114143,0.0004291062882148081,0.0004291062882148094,0.0004291062882148094
89,7.494949494949495e-07,0.0012442458522743853,0.0002761803876489054,0.0003529591357130309,0.0003529591357130348,0.0003529591357130348
90,7.545454545454546e-07,0.0006910294316365489,0.00015461531429638502,0.0002218422660423157,0.00022184226604231622,0.00022184226604231622
91,7.595959595959596e-07,0.0002146967939863423,5.8747684169362614e-05,9.612771584143638e-05,9.612771584143715e-05,9.612771584143715e-05
92,7.646464646464646e-07,3.530328198589496e-06,2.499933416797697e-05,2.668929489657526e-05,2.668929489657429e-05,2.668929489657429e-05
93,7.696969696969697e-07,0.00011107211558239162,5.8978586592721123e-05,3.4568637796060755e-05,3.4568637796061114e-05,3.4568637796061114e-05
94,7.747474747474747e-07,0.00045265633647176355,0.00013757935315934213,0.00010646234269803976,0.00010646234269803911,0.00010646234269803911
95,7.797979797979798e-07,0.0008594900764921203,0.00022256755152004446,0.00020507210368000245,0.00020507210368000145,0.00020507210368000145
96,7.848484848484849e-07,0.001157555110022877,0.00027796576242411573,0.00028727988271443213,0.0002872798827144273,0.0002872798827144273
97,7.898989898989898e-07,0.001235422669853577,0.00028362929851277085,0.0003214724656028655,0.0003214724656028661,0.0003214724656028661
98,7.949494949494949e-07,0.00107727820977926,0.00024055269425516163,0.00029765638594448415,0.0002976563859444833,0.0002976563859444833
99,8e-07,0.000755586666576066,0.0001675192259349058,0.00022808545461004231,0.0002280854546100481,0.0002280854546100481
