,time,temperature
285,2018-11-01 09:23:53.032702,18.51
286,2018-11-01 09:23:53.336934,18.52
287,2018-11-01 09:23:53.645330,18.42
288,2018-11-01 09:23:53.947519,18.52
289,2018-11-01 09:23:54.253221,18.49
290,2018-11-01 09:23:54.556457,18.52
291,2018-11-01 09:23:54.860358,18.49
292,2018-11-01 09:23:55.175948,18.54
293,2018-11-01 09:23:55.471417,18.48
294,2018-11-01 09:23:55.774708,18.52
295,2018-11-01 09:23:56.079924,18.51
296,2018-11-01 09:23:56.385001,18.51
297,2018-11-01 09:23:56.689040,18.55
298,2018-11-01 09:23:56.993141,18.54
299,2018-11-01 09:23:57.298151,18.48
300,2018-11-01 09:23:57.604172,18.55
301,2018-11-01 09:23:57.907752,18.56
302,2018-11-01 09:23:58.215548,18.56
303,2018-11-01 09:23:58.516941,18.53
304,2018-11-01 09:23:58.821796,18.59
305,2018-11-01 09:23:59.126626,18.6
306,2018-11-01 09:23:59.430824,18.54
307,2018-11-01 09:23:59.736420,18.58
308,2018-11-01 09:24:00.041395,18.54
309,2018-11-01 09:24:00.347056,18.51
310,2018-11-01 09:24:00.650795,18.62
311,2018-11-01 09:24:00.957137,18.57
312,2018-11-01 09:24:01.263736,18.57
313,2018-11-01 09:24:01.565741,18.61
314,2018-11-01 09:24:01.870240,18.57
315,2018-11-01 09:24:02.176064,18.57
316,2018-11-01 09:24:02.484467,18.62
317,2018-11-01 09:24:02.785600,18.57
318,2018-11-01 09:24:03.090049,18.55
319,2018-11-01 09:24:03.393194,18.51
320,2018-11-01 09:24:03.701837,18.56
321,2018-11-01 09:24:04.003665,18.54
322,2018-11-01 09:24:04.308655,18.59
323,2018-11-01 09:24:04.615529,18.58
324,2018-11-01 09:24:04.919781,18.58
325,2018-11-01 09:24:05.225049,18.57
326,2018-11-01 09:24:05.527949,18.53
327,2018-11-01 09:24:05.832065,18.55
328,2018-11-01 09:24:06.137553,18.57
329,2018-11-01 09:24:06.441651,18.61
330,2018-11-01 09:24:06.748532,18.57
331,2018-11-01 09:24:07.054211,18.62
332,2018-11-01 09:24:07.359154,18.64
333,2018-11-01 09:24:07.663169,18.54
334,2018-11-01 09:24:07.967538,18.59
335,2018-11-01 09:24:08.271651,18.61
336,2018-11-01 09:24:08.577220,18.57
337,2018-11-01 09:24:08.885286,18.57
338,2018-11-01 09:24:09.187043,18.62
339,2018-11-01 09:24:09.496383,18.64
340,2018-11-01 09:24:09.796032,18.64
341,2018-11-01 09:24:10.106665,18.57
