,wavelength,test1_R_LL,test1_R_RR,test1_R_pp,test1_R_sp,test2_R_LL,test2_R_RR,test2_R_pp,test2_R_sp,test3_R_LL,test3_R_RR,test3_R_pp,test3_R_sp,test4_R_LL,test4_R_RR,test4_R_pp,test4_R_sp,test5_R_LL,test5_R_RR,test5_R_pp,test5_R_sp
10,3.2008032128514056e-07,0.0030528193285880205,8.746156323750974e-05,0.0010421396727636858,0.0005273764497876403,0.003924085614586569,0.00011468033209100356,0.0013434171693612774,0.0006751458626121056,0.004818164706997926,0.00014306329297265264,0.0016533879154837503,0.0008262633512272511,0.007292602812522609,0.00022415231837578378,0.002515786712297767,0.0012415593734868887,0.009043848423439678,0.00028905642021317523,0.003139645566998408,0.0015267677810784188
11,3.2208835341365463e-07,0.005558922438535736,0.00016089625336069213,0.0019003720737400273,0.0009583499957937625,0.007014485701502913,0.00020681092749870138,0.0024045366698455164,0.0012047109646504321,0.008422345006937889,0.0002520979103962916,0.0028937486719457593,0.0014419746485531525,0.011628157454493157,0.00036012977567086477,0.004016565897896069,0.001976498784002959,0.011017572540499931,0.0003558598381222188,0.0038323021309417775,0.0018556178974075243
12,3.2409638554216865e-07,0.00894654275176275,0.0002591067610587522,0.0030587613431713166,0.0015422266940466076,0.011035864350622426,0.0003253829542350231,0.0037832395074137585,0.001895402031307691,0.012894020900509916,0.0003858719471491949,0.004430357155334717,0.00220767120599737,0.015879726403628804,0.0004918411308270803,0.005486174949267701,0.002699010576174042,0.01030090480880267,0.00033511409093824415,0.0035888732195247454,0.00173207591262555
13,3.261044176706827e-07,0.013082581823795417,0.00037689764290993705,0.004469585242178293,0.0022576792237935894,0.015711174906631015,0.0004607139779344574,0.005382092154807956,0.0027014223408386943,0.017771823064976017,0.0005289570306555103,0.006102097351864213,0.0030462321178943443,0.019019863981554346,0.000586102549761999,0.006567483730573658,0.0032360055694566087,0.006953640431207714,0.00022976470225324972,0.002430969468946597,0.0011652025547067698
14,3.281124497991968e-07,0.01769953107229019,0.0005051974304865375,0.006039178507207809,0.003060191491984049,0.020608506039492446,0.0005987207312930073,0.007050814238368128,0.0035501827136626145,0.022447018949200835,0.0006618849917618014,0.007697765089165573,0.003854886813201905,0.020200991018843224,0.0006169939115342077,0.006968007732408151,0.0034431293015581275,0.0026533423875744503,9.352832129636373e-05,0.0009402201712180147,0.00043818266087027996
15,3.301204819277108e-07,0.022432432196964572,0.0006324482043528022,0.007641088271901265,0.0038880583142632524,0.02521517323427679,0.000723499324209588,0.00861230370590589,0.004354585008441305,0.02628650819906033,0.0007653401272877634,0.008999128710453476,0.004525716537834092,0.0190277396598808,0.0005747764653553689,0.0065548767603339966,0.003250430256100369,7.857027079980138e-05,6.021352873834817e-06,3.591800713639636e-05,1.029803277115658e-05
16,3.321285140562249e-07,0.026871780826009935,0.0007463987396278226,0.00913458334082206,0.004671207326123027,0.029024142503873408,0.0008201956561959219,0.009892780269748583,0.005027506932669915,0.02875446462465443,0.0008241854365227534,0.009823363957308904,0.004966038651152008,0.015696016740379213,0.0004692155975812518,0.005401474498887371,0.0026869724720961713,0.0015780948340631089,3.181281963964088e-05,0.0005156956861183354,0.00029073695928402753
17,3.3413654618473896e-07,0.030620373023809995,0.0008359352934301378,0.010384394841970233,0.00534078530309012,0.03161323190968325,0.0008775373423889516,0.010749281560276169,0.005495164793034216,0.029506351699423346,0.0008303751890760176,0.010055593631686503,0.0051143336197278285,0.010971275849535387,0.0003265332061314509,0.003776158606175091,0.0018798236484955857,0.007814231761131765,0.00018643968693608592,0.002600465095581925,0.0013983524040943776
18,3.36144578313253e-07,0.033343817068073454,0.0008926271832742587,0.011278145486216308,0.0058377525885672426,0.03270396589816461,0.0008895540882149148,0.011089879162614742,0.00570718768450084,0.028442172734553482,0.0007841957804139141,0.009666720236000778,0.00494967511732807,0.006010116910179331,0.00018145283831713202,0.002076530206336518,0.001026718628402249,0.01726225793127069,0.0004272819241178569,0.00577250301637474,0.003068351258295074
19,3.3815261044176705e-07,0.0348081580701105,0.0009117585997632629,0.011739165702666424,0.00611939656809893,0.032194362008801714,0.0008562410736782141,0.010884504861278997,0.005642527812994114,0.02571634701680871,0.0006937334814948674,0.00871554654067774,0.004494308850975503,0.0020596503300830678,6.723746700398879e-05,0.0007242728944590312,0.00034601795588911933,0.026904508041452807,0.0006726812170353079,0.009010805609194449,0.004773007668583252
