,wavelength,B_R_LL,G_R_LL,R_R_LL
87,7.393939393939394e-07,0.0008755836915949225,0.0021036339421486253,0.013091509994310071
88,7.444444444444444e-07,0.0006467501721360389,0.001418566650599136,0.012426547333861157
89,7.494949494949495e-07,0.00043378980131100156,0.0008417538848518662,0.011239330149965634
90,7.545454545454546e-07,0.0002536580849942852,0.0004067058702635387,0.009692524391831072
91,7.595959595959596e-07,0.00011814322253819586,0.00012900332425107853,0.007952930888024073
92,7.646464646464646e-07,3.349452021357496e-05,7.800394296719203e-06,0.006176116960353169
93,7.696969696969697e-07,6.413944459523599e-07,2.8617382331578768e-05,0.0044952714561955365
94,7.747474747474747e-07,1.587279260226415e-05,0.00016689130401209765,0.0030141588139762448
95,7.797979797979798e-07,7.182796491248966e-05,0.0003917892634784455,0.0018038769070312796
96,7.848484848484849e-07,0.00015864961797189178,0.0006698721439774594,0.0009029370234501424
97,7.898989898989898e-07,0.00026516537488378616,0.0009683039040432104,0.0003200189334012718
98,7.949494949494949e-07,0.0003799882288239638,0.001257415523765848,3.864614773067315e-05
99,8e-07,0.0004924564155961524,0.0015125372371481462,2.299817484084801e-05
