136s_wl,136s,137s_wl,137s,138s_wl,138s,139s_wl,139s,140s_wl,140s,141s_wl,141s,143s_wl,143s
625.6342903,0.051101799,630.1410901,0.041992649,631.6433566,0.046547224,626.3854236,0.145229682,652.6750887,0.705442406,677.0869206,0.515668448,703.0010191,0.067042811
628.6388235,0.051101799,633.1456232,0.041992649,634.6478898,0.045029032,629.3899568,0.142193299,653.8017887,0.679633148,677.8380539,0.542995898,706.0055522,0.082983824
631.6433566,0.048824511,636.1501564,0.042751745,637.652423,0.045029032,632.3944899,0.137638724,654.552922,0.655342081,678.5891872,0.570323348,709.0100854,0.100443028
634.6478898,0.04730632,639.1546895,0.044269936,640.6569561,0.045029032,635.3990231,0.123215903,655.3040552,0.634087398,679.3403205,0.600687181,712.0146185,0.111829465
637.652423,0.04351084,642.1592227,0.045029032,643.6614893,0.045029032,638.4035562,0.103479411,656.0551885,0.606759948,680.0914538,0.624978248,715.0191517,0.114865849
640.6569561,0.041233553,645.1637558,0.046547224,646.6660224,0.045029032,641.4080894,0.082983824,656.8063218,0.585505265,680.8425871,0.649269315,718.0236849,0.111829465
643.6614893,0.038956265,648.168289,0.04730632,649.6705556,0.045029032,644.4126226,0.067801907,657.5574551,0.558177815,681.5937204,0.676596765,721.028218,0.11638404
646.6660224,0.039715361,651.1728222,0.045029032,652.6750887,0.041992649,647.4171557,0.059451853,658.3085884,0.530850365,682.7204203,0.705442406,724.0327512,0.14371149
649.6705556,0.042751745,654.1773553,0.045029032,655.6796219,0.041992649,650.4216889,0.057933661,659.0597217,0.503522915,684.5982535,0.741372942,726.286151,0.187739049
652.6750887,0.045029032,657.1818885,0.042751745,658.684155,0.041992649,653.426222,0.060210949,659.810855,0.473159082,687.22722,0.779833798,727.7884176,0.22569384
655.6796219,0.04730632,660.1864216,0.041233553,661.6886882,0.041992649,656.4307552,0.063247332,660.5619883,0.442795248,690.2317532,0.804124865,728.9151175,0.260612249
658.684155,0.050342703,663.1909548,0.039715361,664.6932214,0.041992649,659.4352883,0.064006428,661.3131216,0.415467798,693.2362863,0.802606673,729.6662508,0.287939698
661.6886882,0.051101799,666.1954879,0.041233553,667.6977545,0.041992649,662.4398215,0.062488236,662.0642548,0.385103965,696.2408195,0.784388373,730.4173841,0.312230765
664.6932214,0.051101799,669.2000211,0.041992649,670.7022877,0.044269936,665.4443546,0.059451853,662.8153881,0.360812898,698.869786,0.753518476,731.1685174,0.339558215
