,wavelength,big_blue_R_LL,big_blue_R_RR,big_blue_R_pp,big_blue_R_sp,med_blue_R_LL,med_blue_R_RR,med_blue_R_pp,med_blue_R_sp
29,3.973154362416107e-07,0.008565631322482715,0.0001303403431979195,0.0023878760975270877,0.0018209758877373236,0.0008560837629885599,1.1039801973286608e-05,0.0002839952008235041,0.00016829612138827784
30,4.006711409395973e-07,0.018222210796964,2.9965110226748453e-05,0.004713782157307416,0.004314903666805112,0.00043758062639416426,7.27932014630024e-07,0.00012173560958061377,0.00010067971411589206
31,4.0402684563758387e-07,0.0020690783597372506,3.049366353322563e-05,0.0004947115070500851,0.0006111971856116408,0.0052819562056589,2.3193984307233312e-05,0.001561533673701249,0.0011518738625739605
32,4.0738255033557044e-07,0.009846106156467116,0.00012617905238175345,0.002713377807894894,0.002109822802564984,0.014205686591670586,6.509445584807693e-05,0.004205573065315499,0.003088679408510855
33,4.10738255033557e-07,0.026513141630702886,4.6728107828129615e-05,0.00683364831045732,0.00625373265801172,0.023847456710752297,0.000104942473778619,0.0070223144598682155,0.005200171092625075
34,4.140939597315436e-07,0.0067896576729974826,1.135746706465425e-05,0.0016519914075777144,0.0017967829525074956,0.03020599765932011,0.00012412473618150175,0.0088289795026012,0.006618048943156054
35,4.1744966442953016e-07,0.007444734386312487,0.0001111665178234897,0.002071192159768675,0.0015652521040302424,0.030332444091449414,0.00011500649139716065,0.00879493254004744,0.0066814371411735365
36,4.2080536912751674e-07,0.03909104871906941,8.089310726861211e-05,0.010066712136470654,0.00914891782187484,0.023583193276352662,8.301165692240461e-05,0.0067883761889655754,0.0052195856953738936
37,4.241610738255033e-07,0.023741914236117153,1.4617156265432503e-07,0.005887962432625339,0.005911335387661432,0.012361595797157428,4.280471307989054e-05,0.003547854061415621,0.0027389267909509046
38,4.275167785234899e-07,0.0011277929674680164,6.975250580675201e-05,0.00037219164312879665,0.00019580177226598652,0.002271516500871317,1.1166777465170433e-05,0.0006690456841681263,0.0004914655457778495
39,4.3087248322147646e-07,0.05044294073740423,0.00011409311806562865,0.012987173229641616,0.011714970624004721,0.001163545046665003,1.6639497147322423e-08,0.0002887807367303455,0.00028870633683075807
40,4.342281879194631e-07,0.06939433439745855,2.7443397146420162e-05,0.01735854232519663,0.016817429812660278,0.016504894978666758,1.2315361233800434e-05,0.004346551981605303,0.003906217401746831
41,4.3758389261744966e-07,0.008596038179953452,1.425317063737048e-05,0.0020431754408741947,0.0022888696578211324,0.05175206284311918,4.1955894315801855e-05,0.013634246298118576,0.012221930030786227
42,4.4093959731543623e-07,0.04620654143575809,0.00010063837016883182,0.011888761657156155,0.010667313873159608,0.10418487245870761,7.702346703142834e-05,0.02728369393890549,0.02467294014732705
43,4.442953020134228e-07,0.16877915980853464,9.02467451728761e-05,0.04226088422615994,0.040526014025117955,0.16619481413479434,0.00010468970352571841,0.04317434603557821,0.03952754210569865
44,4.476510067114094e-07,0.11669094912181847,8.16141581886053e-06,0.02866541863672878,0.02873936903043514,0.22892318783941898,0.00011575080872592479,0.0589243917707162,0.05473147255889865
45,4.5100671140939595e-07,0.028513343006744143,3.0024492275362874e-05,0.007229208521544347,0.0066900975269212565,0.2853452365258728,0.00010731834874278646,0.07269749527156141,0.06863769794418315
46,4.543624161073825e-07,0.5491205205077404,0.00010617320785531517,0.13586257802284238,0.13349232120087007,0.3313107641825227,8.306790699688691e-05,0.08345889817455945,0.08025406555668009
47,4.5771812080536915e-07,0.830255526246503,7.950204436095172e-05,0.2039569496412159,0.20352627314028274,0.3650605911471704,5.1355250717121386e-05,0.0908353850136378,0.08912721967075247
48,4.610738255033557e-07,0.9103754385197464,6.105355722212967e-06,0.22028946538594868,0.22646655987748435,0.3862809677697797,2.2128627623261765e-05,0.0948591472097069,0.09511809116569217
49,4.644295302013423e-07,0.9337371374422341,2.7082656086608242e-05,0.22285597636343227,0.23519725355923016,0.3953223604672128,3.7694719964599517e-06,0.0957547574408148,0.09822148297739204
50,4.6778523489932887e-07,0.9341130427885396,9.685367973360399e-05,0.2225360263094047,0.235414243929119,0.3927438078931101,8.1259169242585e-07,0.09380845499768327,0.09846861504726677
51,4.7114093959731545e-07,0.9132325188624411,8.361973149339949e-05,0.21873029960076615,0.2285061734627343,0.37913845356021314,1.3070088192157277e-05,0.08930835483873384,0.09589996860488771
52,4.74496644295302e-07,0.8476964384756569,1.3912866321501347e-05,0.20294765449302157,0.21152293448634404,0.35516116910223433,3.618939418062314e-05,0.08253656704734932,0.09058667313542026
53,4.778523489932886e-07,0.6476856845415394,1.1953838818869676e-05,0.1533666874907748,0.1625223408044658,0.3216969596857242,6.327094337098252e-05,0.07379862785754558,0.0826834542803156
54,4.812080536912752e-07,0.1823222640849315,7.767799893857518e-05,0.04232228428371975,0.04607632243929271,0.2801167363007095,8.694924477450203e-05,0.06347704080838909,0.07249906111039979
55,4.845637583892617e-07,0.016846973019329557,9.730638688831828e-05,0.004204787318116513,0.00427705335685454,0.23254255541463212,0.00010132326539189765,0.05208958746497621,0.060564863106129865
56,4.879194630872483e-07,0.13913400388073735,3.961663571596282e-05,0.03305492817858621,0.03501265187967078,0.18199336659168014,0.0001032683534633583,0.04032166343686323,0.047669804057164034
57,4.912751677852349e-07,0.13235403868635828,3.355952091909787e-08,0.031199057844521448,0.033117771519965304,0.1322473210861299,9.289908780232939e-05,0.028995481101715605,0.03482065164791762
58,4.946308724832215e-07,0.04181684953496345,3.920879452608097e-05,0.009786227204838578,0.010343392902573792,0.08731364936787385,7.320125073078748e-05,0.01895414309976433,0.02310015930386502
59,4.97986577181208e-07,0.0002567444312365937,9.324128128183991e-05,0.00011342827329365856,0.000107463380194713,0.05060064071647132,4.904723325265322e-05,0.010883306920427386,0.013444813436664106
60,5.013422818791946e-07,0.03273428112273494,8.004653734657675e-05,0.00770203529903315,0.008466522163050244,0.024105110043589117,2.5914869244957327e-05,0.005144682276917995,0.006425951942095555
61,5.046979865771812e-07,0.056364191955199344,2.119798884614942e-05,0.013162070848777763,0.014293888757807073,0.008017654566179134,8.638595857995812e-06,0.001706205773851002,0.002137689947981565
62,5.080536912751678e-07,0.03796357851202348,2.2603961548787897e-06,0.008847183247283586,0.009460793818194726,0.0009212103852722461,4.550312147284347e-07,0.00020165837946215442,0.0002406277715527632
63,5.114093959731543e-07,0.007242067417681832,4.751044624702694e-05,0.0017194257608962402,0.0017247603427827877,0.000422920090762609,2.4971466837823144e-06,7.827848152384221e-05,0.00012257521406220967
